produit,description,longueur,largeur,epaisseur,essence,nb_planches,volume planche,volume paquet,production epinette,production sapin,regle
0,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-10'_464,10,3,1.0,EPINETTE,464,2.5,1160,24411.2,1284.8,1x3 epinette 8@16
1,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-12'_464,12,3,1.0,EPINETTE,464,3.0,1392,18950.8,,1x3 epinette 8@16
2,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-14'_464,14,3,1.0,EPINETTE,464,3.5,1624,10599.6,,1x3 epinette 8@16
3,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-16'_464,16,3,1.0,EPINETTE,464,4.0,1856,14454.0,,1x3 epinette 8@16
4,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-8'_464,8,3,1.0,EPINETTE,464,2.0,928,25374.8,1284.8,1x3 epinette 8@16
5,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-10'_348,10,4,1.0,EPINETTE,348,3.3333333333333335,1160,40792.4,1284.8,1x3-1x4 epinette 12@16
6,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-12'_348,12,4,1.0,EPINETTE,348,4.0,1392,39186.4,,1x3-1x4 epinette 12@16
7,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-14'_348,14,4,1.0,EPINETTE,348,4.666666666666667,1624,22805.2,,1x3-1x4 epinette 12@16
8,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-16'_348,16,4,1.0,EPINETTE,348,5.333333333333333,1856,47858.8,,1x3-1x4 epinette 12@16
9,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-8'_348,8,4,1.0,EPINETTE,348,2.6666666666666665,928,31477.6,963.6,1x3-1x4 epinette 12@16
10,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-10'_232,10,6,1.0,EPINETTE,232,5.0,1160,8030.0,,1x4 - 1x6 sapin.1
11,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-12'_232,12,6,1.0,EPINETTE,232,6.0,1392,11563.2,,1x4 - 1x6 sapin.1
12,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-14'_232,14,6,1.0,EPINETTE,232,7.0,1624,9636.0,,1x4 - 1x6 sapin.1
13,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-16'_232,16,6,1.0,EPINETTE,232,8.0,1856,15096.4,,1x4 - 1x6 sapin.1
14,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-6' - 7'_232,7,6,1.0,EPINETTE,232,3.5,812,1284.8,,0106103MVBL-6' - 7'_232
15,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-8'_232,8,6,1.0,EPINETTE,232,4.0,928,4175.6,,1x4 - 1x6 sapin.1
16,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-10'_320,10,3,2.0,EPINETTE,320,5.0,1600,20556.8,11242.0,2x3-2x4 epinette 6 @ 10
17,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-12'_320,12,3,2.0,EPINETTE,320,6.0,1920,13490.4,,0203103MVBL-12'_320
18,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-14'_320,14,3,2.0,EPINETTE,320,7.0,2240,5139.2,,2x3-2x4 epinette 12-14-16
19,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-16'_320,16,3,2.0,EPINETTE,320,8.0,2560,17987.2,,2x3-2x4 epinette 12-14-16
20,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-7'_320,7,3,2.0,EPINETTE,320,3.5,1120,3854.4,2569.6,2x3-2x4 epinette 6 @ 10
21,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-8'_320,8,3,2.0,EPINETTE,320,4.0,1280,11884.4,7387.6,2x3-2x4 epinette 6 @ 10
22,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-9'_320,9,3,2.0,EPINETTE,320,4.5,1440,11884.4,8351.2,2x3-2x4 epinette 6 @ 10
